"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.707,0.709,11,-3.979,0,0.34,0.763,0,0.274,0.497,89.094,"audio_features","4jtyUzZm9WLc2AdaJ1dso7","spotify:track:4jtyUzZm9WLc2AdaJ1dso7","https://api.spotify.com/v1/tracks/4jtyUzZm9WLc2AdaJ1dso7","https://api.spotify.com/v1/audio-analysis/4jtyUzZm9WLc2AdaJ1dso7",275227,4
0.617,0.699,11,-4.051,0,0.385,0.762,0,0.301,0.531,179.496,"audio_features","0dBy4Can9xDkZHDLSEHM41","spotify:track:0dBy4Can9xDkZHDLSEHM41","https://api.spotify.com/v1/tracks/0dBy4Can9xDkZHDLSEHM41","https://api.spotify.com/v1/audio-analysis/0dBy4Can9xDkZHDLSEHM41",275227,4
0.734,0.746,11,-5.088,1,0.0762,0.00135,0,0.178,0.534,94.033,"audio_features","6lgzJuBX3iqevLdtgNlyAU","spotify:track:6lgzJuBX3iqevLdtgNlyAU","https://api.spotify.com/v1/tracks/6lgzJuBX3iqevLdtgNlyAU","https://api.spotify.com/v1/audio-analysis/6lgzJuBX3iqevLdtgNlyAU",197627,4
0.724,0.705,11,-5.752,1,0.087,0.000778,0,0.318,0.518,94.018,"audio_features","6pGP8DgSA8XcpvAdRVEErW","spotify:track:6pGP8DgSA8XcpvAdRVEErW","https://api.spotify.com/v1/tracks/6pGP8DgSA8XcpvAdRVEErW","https://api.spotify.com/v1/audio-analysis/6pGP8DgSA8XcpvAdRVEErW",197640,4
0.806,0.45,8,-10.966,0,0.0929,0.00106,0.827,0.17,0.524,94.018,"audio_features","3kJ4h63bKvKoD4HQsxkivN","spotify:track:3kJ4h63bKvKoD4HQsxkivN","https://api.spotify.com/v1/tracks/3kJ4h63bKvKoD4HQsxkivN","https://api.spotify.com/v1/audio-analysis/3kJ4h63bKvKoD4HQsxkivN",199028,4
0.859,0.673,8,-8.561,0,0.0691,0.000229,0.83,0.49,0.608,93.988,"audio_features","1dFj8GDNpylBnakGaFjChR","spotify:track:1dFj8GDNpylBnakGaFjChR","https://api.spotify.com/v1/tracks/1dFj8GDNpylBnakGaFjChR","https://api.spotify.com/v1/audio-analysis/1dFj8GDNpylBnakGaFjChR",199079,4
0.518,0.893,6,-4.27,0,0.357,0.00623,0,0.106,0.529,93.262,"audio_features","7sLpSWxQazJzDVG6YGzlVs","spotify:track:7sLpSWxQazJzDVG6YGzlVs","https://api.spotify.com/v1/tracks/7sLpSWxQazJzDVG6YGzlVs","https://api.spotify.com/v1/audio-analysis/7sLpSWxQazJzDVG6YGzlVs",234627,4
0.547,0.951,1,-4.079,0,0.151,0.00272,0.0000114,0.0862,0.529,95.031,"audio_features","65eohvrL4ttjA7EfFkQOhX","spotify:track:65eohvrL4ttjA7EfFkQOhX","https://api.spotify.com/v1/tracks/65eohvrL4ttjA7EfFkQOhX","https://api.spotify.com/v1/audio-analysis/65eohvrL4ttjA7EfFkQOhX",295827,4
0.493,0.961,6,-0.813,0,0.375,0.00858,0,0.0751,0.51,92.765,"audio_features","6yKZMP0N14EGzzvzVAT09I","spotify:track:6yKZMP0N14EGzzvzVAT09I","https://api.spotify.com/v1/tracks/6yKZMP0N14EGzzvzVAT09I","https://api.spotify.com/v1/audio-analysis/6yKZMP0N14EGzzvzVAT09I",235467,4
0.493,0.961,6,-0.813,0,0.375,0.00858,0,0.0751,0.51,92.765,"audio_features","5LkUbBbd53mLzAXv6ILeaP","spotify:track:5LkUbBbd53mLzAXv6ILeaP","https://api.spotify.com/v1/tracks/5LkUbBbd53mLzAXv6ILeaP","https://api.spotify.com/v1/audio-analysis/5LkUbBbd53mLzAXv6ILeaP",235467,4
0.66,0.868,6,-4.356,0,0.354,0.00685,0,0.0928,0.546,93.157,"audio_features","6gtcmOwrktXnxygPkwRh4f","spotify:track:6gtcmOwrktXnxygPkwRh4f","https://api.spotify.com/v1/tracks/6gtcmOwrktXnxygPkwRh4f","https://api.spotify.com/v1/audio-analysis/6gtcmOwrktXnxygPkwRh4f",234867,4
0.552,0.946,9,-4.47,1,0.148,0.00276,0.0000182,0.0837,0.517,95.001,"audio_features","6CDK4htW8KFdmhlYqrWLMJ","spotify:track:6CDK4htW8KFdmhlYqrWLMJ","https://api.spotify.com/v1/tracks/6CDK4htW8KFdmhlYqrWLMJ","https://api.spotify.com/v1/audio-analysis/6CDK4htW8KFdmhlYqrWLMJ",295827,4
0.502,0.872,6,-4.268,0,0.372,0.00622,0,0.0973,0.526,89.76,"audio_features","32uqV4nV8P0CiRDaVrEbcY","spotify:track:32uqV4nV8P0CiRDaVrEbcY","https://api.spotify.com/v1/tracks/32uqV4nV8P0CiRDaVrEbcY","https://api.spotify.com/v1/audio-analysis/32uqV4nV8P0CiRDaVrEbcY",234920,4
0.809,0.489,11,-6.625,1,0.853,0.593,0,0.135,0.656,93.202,"audio_features","56F8DMHkLaTNE40UBkVxxb","spotify:track:56F8DMHkLaTNE40UBkVxxb","https://api.spotify.com/v1/tracks/56F8DMHkLaTNE40UBkVxxb","https://api.spotify.com/v1/audio-analysis/56F8DMHkLaTNE40UBkVxxb",230067,4
0.551,0.636,6,-7.125,1,0.0281,0.00713,0.00203,0.217,0.163,124.996,"audio_features","0FDzzruyVECATHXKHFs9eJ","spotify:track:0FDzzruyVECATHXKHFs9eJ","https://api.spotify.com/v1/tracks/0FDzzruyVECATHXKHFs9eJ","https://api.spotify.com/v1/audio-analysis/0FDzzruyVECATHXKHFs9eJ",268467,4
0.652,0.657,3,-4.491,0,0.0306,0.00209,0.0000704,0.0859,0.0967,127.998,"audio_features","0WZVGXO8FYpK8v1IDxlOyE","spotify:track:0WZVGXO8FYpK8v1IDxlOyE","https://api.spotify.com/v1/tracks/0WZVGXO8FYpK8v1IDxlOyE","https://api.spotify.com/v1/audio-analysis/0WZVGXO8FYpK8v1IDxlOyE",313125,4
0.467,0.765,6,-7.846,1,0.0311,0.00416,0.0000593,0.708,0.177,125.013,"audio_features","2WXTF0qgKbczC2O8VymeLO","spotify:track:2WXTF0qgKbczC2O8VymeLO","https://api.spotify.com/v1/tracks/2WXTF0qgKbczC2O8VymeLO","https://api.spotify.com/v1/audio-analysis/2WXTF0qgKbczC2O8VymeLO",278267,4
0.638,0.847,6,-5.648,1,0.0338,0.00405,0.0419,0.4,0.304,123.042,"audio_features","3N0CmIrt0vWlQv6cBblSex","spotify:track:3N0CmIrt0vWlQv6cBblSex","https://api.spotify.com/v1/tracks/3N0CmIrt0vWlQv6cBblSex","https://api.spotify.com/v1/audio-analysis/3N0CmIrt0vWlQv6cBblSex",195160,4
0.439,0.648,3,-3.643,0,0.0325,0.019,0,0.343,0.0491,127.954,"audio_features","4m44w58OgkMpRrFaw6f4QJ","spotify:track:4m44w58OgkMpRrFaw6f4QJ","https://api.spotify.com/v1/tracks/4m44w58OgkMpRrFaw6f4QJ","https://api.spotify.com/v1/audio-analysis/4m44w58OgkMpRrFaw6f4QJ",210938,4
0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.168,139.028,"audio_features","6lanRgr6wXibZr8KgzXxBl","spotify:track:6lanRgr6wXibZr8KgzXxBl","https://api.spotify.com/v1/tracks/6lanRgr6wXibZr8KgzXxBl","https://api.spotify.com/v1/audio-analysis/6lanRgr6wXibZr8KgzXxBl",285120,3
0.272,0.281,10,-8.131,1,0.0307,0.618,0,0.111,0.15,138.856,"audio_features","7hn8Q8WAxFdL4aZ159GI7C","spotify:track:7hn8Q8WAxFdL4aZ159GI7C","https://api.spotify.com/v1/tracks/7hn8Q8WAxFdL4aZ159GI7C","https://api.spotify.com/v1/audio-analysis/7hn8Q8WAxFdL4aZ159GI7C",305893,3
0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.168,139.028,"audio_features","1QUpqu8865jfasDr8M3IKN","spotify:track:1QUpqu8865jfasDr8M3IKN","https://api.spotify.com/v1/tracks/1QUpqu8865jfasDr8M3IKN","https://api.spotify.com/v1/audio-analysis/1QUpqu8865jfasDr8M3IKN",285120,3
0.72,0.265,3,-13.966,0,0.909,0.874,0,0.12,0.962,85.061,"audio_features","4FpdBlYGQkpg6u7NR7uCW4","spotify:track:4FpdBlYGQkpg6u7NR7uCW4","https://api.spotify.com/v1/tracks/4FpdBlYGQkpg6u7NR7uCW4","https://api.spotify.com/v1/audio-analysis/4FpdBlYGQkpg6u7NR7uCW4",17813,4
0.81,0.721,9,-4.964,0,0.265,0.0487,0,0.0886,0.546,101.997,"audio_features","1hzJQIkgXwZevaKsc7iA6D","spotify:track:1hzJQIkgXwZevaKsc7iA6D","https://api.spotify.com/v1/tracks/1hzJQIkgXwZevaKsc7iA6D","https://api.spotify.com/v1/audio-analysis/1hzJQIkgXwZevaKsc7iA6D",270120,4
0.817,0.651,9,-7.701,0,0.262,0.0523,0,0.607,0.541,102.058,"audio_features","6VtPWQZDkP6mFoe3Zrjl0X","spotify:track:6VtPWQZDkP6mFoe3Zrjl0X","https://api.spotify.com/v1/tracks/6VtPWQZDkP6mFoe3Zrjl0X","https://api.spotify.com/v1/audio-analysis/6VtPWQZDkP6mFoe3Zrjl0X",302573,4
0.815,0.652,9,-7.099,0,0.251,0.0246,0,0.087,0.551,101.977,"audio_features","5cS9jJbwirKrdDIbbAExUz","spotify:track:5cS9jJbwirKrdDIbbAExUz","https://api.spotify.com/v1/tracks/5cS9jJbwirKrdDIbbAExUz","https://api.spotify.com/v1/audio-analysis/5cS9jJbwirKrdDIbbAExUz",269640,4
0.807,0.719,9,-4.987,0,0.274,0.0331,0,0.0901,0.552,101.94,"audio_features","1Lphn7aWmLmrKIKDj5OEiD","spotify:track:1Lphn7aWmLmrKIKDj5OEiD","https://api.spotify.com/v1/tracks/1Lphn7aWmLmrKIKDj5OEiD","https://api.spotify.com/v1/audio-analysis/1Lphn7aWmLmrKIKDj5OEiD",270120,4
0.656,0.532,1,-12.508,1,0.487,0.135,0,0.432,0.406,167.551,"audio_features","0Dj8k37KgT4R0V3i3zONQw","spotify:track:0Dj8k37KgT4R0V3i3zONQw","https://api.spotify.com/v1/tracks/0Dj8k37KgT4R0V3i3zONQw","https://api.spotify.com/v1/audio-analysis/0Dj8k37KgT4R0V3i3zONQw",353254,4
0.625,0.576,11,-5.693,0,0.175,0.0543,0.0000407,0.187,0.223,179.063,"audio_features","3trS6e40JCVUOpPVt5OdHj","spotify:track:3trS6e40JCVUOpPVt5OdHj","https://api.spotify.com/v1/tracks/3trS6e40JCVUOpPVt5OdHj","https://api.spotify.com/v1/audio-analysis/3trS6e40JCVUOpPVt5OdHj",193147,4
0.625,0.576,11,-5.693,0,0.175,0.0543,0.0000407,0.187,0.223,179.063,"audio_features","25cUhiAod71TIQSNicOaW3","spotify:track:25cUhiAod71TIQSNicOaW3","https://api.spotify.com/v1/tracks/25cUhiAod71TIQSNicOaW3","https://api.spotify.com/v1/audio-analysis/25cUhiAod71TIQSNicOaW3",193147,4
