Artist,Song,PlatinumGoldFlag
2 Sexy,Like a Prayer,0
2Pac & Elton John,Ghetto Gospel,0
2Pac & The Notorious BIG,Runnin' (Dying to Live),0
2Pac,Letter 2 My Unborn Child,0
2Pac,One Day At A Time,0
2Pac,Pac's Life,0
2Pac,Still Ballin,0
2Pac,Thugs Get Lonely Too,0
2Pac,Thugz Mansion,0
2Pac,Until the End of Time,0
2Play & Thomas Jules,Careless Whisper,0
2PM,Guilty Love,0
2PM,Winter Games,0
3OH!3 & Ke$ha,"Blah, Blah, Blah",0
3OH!3 & Ke$ha,My First Kiss,0
3OH!3,Deja Vu,0
3OH!3,Don't Trust Me,0
3T,Stuck On You,0
4 Clubbers,Children,0
4 Tune 500,Dancing in the Dark,0
4 Vini & Elizabeth Troy,Forever Young,0
5 Seconds of Summer,Amnesia,0
5 Seconds of Summer,Don't Stop,1
5 Seconds of Summer,She Looks So Perfect,1
6th Sense,Paradise,0
30H!3 & Katy Perry,Starstruck,0
50 Cent & G-Unit,If I Can't,0
50 Cent & Justin Timberlake,Ayo Technology,0
50 Cent & Mobb Deep,Outta Control,0
50 Cent & Olivia,Best Friend,0
50 Cent & Olivia,Candy Shop,0
50 Cent,21 Questions,0
50 Cent,Baby By Me,0
50 Cent,Disco Inferno,0
50 Cent,Get Up,0
50 Cent,Hustler's Ambition,0
50 Cent,I Get It In,0
50 Cent,I Get Money,0
50 Cent,In Da Club,0
50 Cent,Invitation,0
50 Cent,Just a Lil Bit,0
50 Cent,My Life,0
50 Cent,New Day,0
50 Cent,Outlaw,0
50 Cent,Outta Control,0
50 Cent,Piggybank,0
50 Cent,PIMP,0
50 Cent,Still Will,0
50 Cent,Straight To The Bank,0
50 Cent,Wanksta,0
50 Cent,Window Shopper,0
311,Love Song,0
A Great Big World & Christina Aguilera,Say Something,0
A Perfect Circle,Imagine,0
A R Rahman & The Pussycat Dolls,Jay Ho (you Are My Destiny),0
A Teens,Can't Help Falling in Love,0
A Teens,Upside Down,0
A'studio Ft Polina,SOS,0
A-Ha,Analogue (all I Want),0
A-Ha,Butterfly Butterfly (The Last Hurrah),0
A-Ha,Celice,0
A-Ha,Cosy Prisons,0
A-Ha,Did Anyone Approach You,0
A-Ha,Foot of the Mountain,0
A-Ha,Forever Not Yours,0
A-Ha,Lifelines,0
A-Ha,The Sun Never Shone That Day,0
