"album_type","album_id","album_name","artist_ids","artist_names","id","name","popularity","explicit"
"single","5OkxLN5XaE9rLbgK2FuKBE","0 To 100 / The Catch Up","3TVXtAsR1Inumwj472S9r4","Drake","4jtyUzZm9WLc2AdaJ1dso7","0 To 100 / The Catch Up",71,true
"single","0jmuabqIBxwVZx5d4YiXUa","0 To 100 / The Catch Up","3TVXtAsR1Inumwj472S9r4","Drake","0dBy4Can9xDkZHDLSEHM41","0 To 100 / The Catch Up",48,false
"album","24IexOT10jPuK3MR6cS3ag","Chapter V (Deluxe)","2iojnBLj0qIMiKPvVhLnsH;4OBJLual30L7gRl5UkeRcT","Trey Songz;T.I.","6lgzJuBX3iqevLdtgNlyAU","2 Reasons (feat. T.I.)",52,true
"album","5BEwruzVInEaispYjeNTlP","Chapter V","2iojnBLj0qIMiKPvVhLnsH;4OBJLual30L7gRl5UkeRcT","Trey Songz;T.I.","6pGP8DgSA8XcpvAdRVEErW","2 Reasons (feat. T.I.)",41,false
"single","5xrsQBLFFCbnyCA1Wm9jnO","2 Reasons (Instrumental Tribute to Trey Songz Feat. T.I.)","0ApjJcziMrW7yVUlk1qEFP","Trey Songz Karaoke Band","3kJ4h63bKvKoD4HQsxkivN","2 Reasons",0,false
"single","7dErPGfiYxPe6eiRHrfXNx","2 Reasons (Instrumental Tribute to Trey Songz and T.I.)","0HU01CKOVvLoKLdN8U7EO2;4OBJLual30L7gRl5UkeRcT","Hot Beats - Tribute to Trey Songz;T.I.","1dFj8GDNpylBnakGaFjChR","2 Reasons (Instrumental Tribute to Trey Songz and",0,false
"album","4FWvo9oS4gRgHtAwDwUjiO","The Black Album","3nFkdlSjzX9mRTtwJOzDYB","JAY Z","7sLpSWxQazJzDVG6YGzlVs","99 Problems",61,true
"album","5NH94cATqx5fjBE794xZLy","Collision Course (Deluxe Version)","3nFkdlSjzX9mRTtwJOzDYB;6XyY86QOPPrYVGvF9ch6wz","JAY Z;Linkin Park","65eohvrL4ttjA7EfFkQOhX","Points Of Authority/99 Problems/One Step Closer",56,true
"compilation","0z3nweFUGrzH2UZ0pohPAn","The Hits Collection Volume One (Deluxe)","3nFkdlSjzX9mRTtwJOzDYB","JAY Z","6yKZMP0N14EGzzvzVAT09I","99 Problems",51,true
"compilation","0DqF3UCxF25vVGPFSSFACb","The Hits Collection Volume One","3nFkdlSjzX9mRTtwJOzDYB","JAY Z","5LkUbBbd53mLzAXv6ILeaP","99 Problems",36,true
"album","2ROptx2K5R4YYqlQQRpT7k","The Black Album","3nFkdlSjzX9mRTtwJOzDYB","JAY Z","6gtcmOwrktXnxygPkwRh4f","99 Problems",30,false
"album","262UQvPQEIigioNFqLknVb","Collision Course","3nFkdlSjzX9mRTtwJOzDYB;6XyY86QOPPrYVGvF9ch6wz","JAY Z;Linkin Park","6CDK4htW8KFdmhlYqrWLMJ","Points Of Authority/99 Problems/One Step Closer",30,false
"compilation","5mwYzSmcawGMcNoruW2Jdf","The Hits Collection Volume One","3nFkdlSjzX9mRTtwJOzDYB","JAY Z","32uqV4nV8P0CiRDaVrEbcY","99 Problems",29,false
"album","0HsBuTvi6wWDj66sSbvA4H","The Black Album (Acappella)","3nFkdlSjzX9mRTtwJOzDYB","JAY Z","56F8DMHkLaTNE40UBkVxxb","99 Problems - A Cappella (Explicit)",25,true
"album","2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","4gzpq5DPGxSnKTe4SA8HAU","Coldplay","0FDzzruyVECATHXKHFs9eJ","A Sky Full of Stars",78,false
"single","0CvMcLab5Xb0KL7gsQfhhv","A Sky Full Of Stars (Hardwell Remix)","4gzpq5DPGxSnKTe4SA8HAU;6BrvowZBreEkXzJQMpL174","Coldplay;Hardwell","0WZVGXO8FYpK8v1IDxlOyE","A Sky Full of Stars - Hardwell Remix",59,false
"album","1hNS0RsxPTFjmKXCgmjSLS","Ghost Stories Live 2014","4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2WXTF0qgKbczC2O8VymeLO","A Sky Full Of Stars - Live At The Royal Albert Hall, London",59,false
"album","1FnkZ3HMw2v2WXTL1L5iHi","Prayer","4gzpq5DPGxSnKTe4SA8HAU","Coldplay","3N0CmIrt0vWlQv6cBblSex","A Sky Full of Stars - Robin Schulz Edit",47,false
"album","52I5f9YIeC3WC3HGumOhay","Pop Remixed Vol. 1","4gzpq5DPGxSnKTe4SA8HAU;6BrvowZBreEkXzJQMpL174","Coldplay;Hardwell","4m44w58OgkMpRrFaw6f4QJ","A Sky Full of Stars - Hardwell Remix",21,false
"single","15yvc643iYfQtb6zh9NEJo","A Thousand Years","7H55rcKCfwqkyDFH9wpKM6","Christina Perri","6lanRgr6wXibZr8KgzXxBl","A Thousand Years",74,false
"album","6lJrqUXdCpEINx1fi5EqMa","The Twilight Saga: Breaking Dawn - Part 2 (Original Motion Picture Soundtrack)","7H55rcKCfwqkyDFH9wpKM6;2E0WuV49YeVlDWrmLf4jKK","Christina Perri;Steve Kazee","7hn8Q8WAxFdL4aZ159GI7C","A Thousand Years (feat. Steve Kazee) - Part 2",60,false
"album","1iGIqDBXm5HpTqHCvdc4QP","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack [Deluxe Spotify Exclusive])","7H55rcKCfwqkyDFH9wpKM6","Christina Perri","1QUpqu8865jfasDr8M3IKN","A Thousand Years",55,false
"album","017PEH66R570UML4rILady","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack [Spotify Exclusive Audio Commentary])","7H55rcKCfwqkyDFH9wpKM6","Christina Perri","4FpdBlYGQkpg6u7NR7uCW4","A Thousand Years - Music Supervisor Alex Patsavas Commentary",0,false
"single","6kWrRefNVW5rLbZoLtSXM8","About the Money","4OBJLual30L7gRl5UkeRcT;50co4Is1HCEo8bhOyUWKpn","T.I.;Young Thug","1hzJQIkgXwZevaKsc7iA6D","About the Money",65,true
"album","4FADvCXok2GhepAWLE8Fs1","Paperwork (Deluxe Explicit)","4OBJLual30L7gRl5UkeRcT;50co4Is1HCEo8bhOyUWKpn","T.I.;Young Thug","6VtPWQZDkP6mFoe3Zrjl0X","About the Money",48,true
"album","5S39sWIHkhd8jxdUelQxXF","Paperwork (Deluxe Clean)","4OBJLual30L7gRl5UkeRcT;50co4Is1HCEo8bhOyUWKpn","T.I.;Young Thug","5cS9jJbwirKrdDIbbAExUz","About the Money",38,false
"single","5KM44JK8tO8Bd5oCTfwTD6","About the Money","4OBJLual30L7gRl5UkeRcT;50co4Is1HCEo8bhOyUWKpn","T.I.;Young Thug","1Lphn7aWmLmrKIKDj5OEiD","About the Money",36,false
"album","5L1ZI7MN9XITXEvyOl1haT","Greatest Mixtape Hits","13y7CgLHjMVRMDqxdx0Xdo;50co4Is1HCEo8bhOyUWKpn;4OBJLual30L7gRl5UkeRcT","Gucci Mane;Young Thug;T.I.","0Dj8k37KgT4R0V3i3zONQw","Aint About the Money (feat. Young Thug & T.I.)",24,true
"album","0vlIws8YGMQAbMEkubJgAP","Kaleidoscope Dream","360IAlyVv4PCEVjgyMZrxK","Miguel","3trS6e40JCVUOpPVt5OdHj","Adorn",64,false
"album","21XMv0TCsnhWPt7MNVvkzD","Kaleidoscope Dream","360IAlyVv4PCEVjgyMZrxK","Miguel","25cUhiAod71TIQSNicOaW3","Adorn",51,false
"album","3RpDqtToIqvKnD6iQe9WT4","Spotify Sessions London","360IAlyVv4PCEVjgyMZrxK","Miguel","3w9PVE3uF2fnOx8atB690c","Adorn - Spotify Sessions",39,false
"album","3RpDqtToIqvKnD6iQe9WT4","Spotify Sessions London","360IAlyVv4PCEVjgyMZrxK","Miguel","6ktzQz9NoVKTtcKCm0grJe","Adorn (Intro) - Spotify Sessions",28,false
"album","6VcyVQu3YmkzIWvxHVyCCB","Kaleidoscope Dream - Track by Track Commentary","360IAlyVv4PCEVjgyMZrxK","Miguel","4Cuu3nn6rGTE5f6CW4Soci","About Adorn - Commentary",24,false
"album","2kcUXoH9BvKlt1eEsQkRR6","Coffeehouse Classics Vol. 1","360IAlyVv4PCEVjgyMZrxK","Miguel","3keadV0TaDl11fvBUCnGTK","Adorn",24,false
"compilation","3RHjiEFLkKID7t8XeMqu88","Tribute to: The Saturdays, Capital Cities...","36TDV8ZIwNY7jNAfhrxl5A","Miguel Fernando","3RKnPJmZXSrlfrbCh33K0o","Adorn - Club Remix",1,false
"album","4sgYpkIASM1jVlNC8Wp9oF","Paramore","74XFHRwlV6OrjEM0A2NCMF","Paramore","1j8z4TTjJ1YOdoFEDwJTQa","Ain't It Fun",68,false
"album","7J2hXOVq8FZ367dTczV7oH","Paramore: Self-Titled Deluxe","74XFHRwlV6OrjEM0A2NCMF","Paramore","3yrvQHw6pQemsrCQEpMnKv","Ain't It Fun",48,false
"album","7J2hXOVq8FZ367dTczV7oH","Paramore: Self-Titled Deluxe","74XFHRwlV6OrjEM0A2NCMF","Paramore","2edsyWHcqzHn1sIUhEfjLo","Ain't It Fun - Live at Red Rocks",41,false
"single","0qs4D7RaRhi5mq2X9sd8PP","Ain't It Fun Remix EP","74XFHRwlV6OrjEM0A2NCMF","Paramore","7EbMEfsCq8VJiKGyCSuPyu","Ain't It Fun - Radio Edit",39,false
"single","0qs4D7RaRhi5mq2X9sd8PP","Ain't It Fun Remix EP","74XFHRwlV6OrjEM0A2NCMF;7CY6mXPK3gjJf0WWPyRY86","Paramore;The Dutch Uncles","1EXAJXOprPlwj5pfBVp15B","Ain't It Fun - Dutch Uncles Remix",32,false
"single","0qs4D7RaRhi5mq2X9sd8PP","Ain't It Fun Remix EP","74XFHRwlV6OrjEM0A2NCMF;4vpTmnsT3BkoGvukOmtYck","Paramore;Smash Mode","63FiUEvnub2zVUEy6QrT13","Ain't It Fun - Smash Mode Remix",31,false
"single","0qs4D7RaRhi5mq2X9sd8PP","Ain't It Fun Remix EP","74XFHRwlV6OrjEM0A2NCMF;7hB1zE5jfaEcmtLjnFpOGZ","Paramore;Kye Kye","5xJobDsuIj34YBdOJJxvwb","Ain't It Fun - Kye Kye Remix",30,false
"single","2Gf7TGoOt6FyRi7p32OzUM","All About That Bass","6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","0ifSeVGUr7py5GggttDhXw","All About That Bass",71,false
"album","5W98Ab4VvQEuFEE4TIe5fE","Title (Deluxe)","6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","5jE48hhRu8E6zBDPRSkEq7","All About That Bass",67,false
"album","7m2Gzfu5nMgHTiMbNDwPr7","Title (Special Edition)","6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","5jSlcXdUGLWOV2pSfYYiBs","All About That Bass",58,false
"album","0CL4Zsk4SKMXvLQKa41BOv","Spotify Sessions","6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","6mPCZm2rCaTledoBjTqSRl","All About That Bass - Live from Spotify London",52,false
"album","0jVGdTKQ0pValbbtxv5h5O","Happiness Forever","6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","2B9rafHNGPpnaAtqTcbrFL","All About That Bass",29,false
"album","3dIf3923LjPr2qOSemGTKt","30 Todo Dia, Vol. 2","6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","0b5YB52WamRrdH9v2jLpVg","All About That Bass",9,false
"single","5bZL4gix2BrBZZxaqaMbjs","All About That Bass - Meghan Tonjes (Meghan Trainor Cover)","6E7uXSmdxbB0xXCltUCvyl","Meghan Tonjes","3hMxgmyoNjytyTKPqCsaIx","All About That Bass - Meghan Tonjes (Meghan Trainor Cover)",4,false
"album","204UQM3vvZO2YZ6uOdj9xP","Title - Track by Track Commentary","6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","7lFz9xAITNNImDRJ0CEIly","About All About That Bass - Commentary",1,false
"single","6PMuXABPVPf11EgTxrjroO","All Day","5K4W6rqBFWDnAN6FQUkS6x;4EMtGVFvfCSrEmWaGV0roE;1tUALn7PEhW7LpMuxvat2x;4STHEaNw4mPZ2tzheohgXB","Kanye West;Theophilus London;Allan Kingdom;Paul McCartney","79reBHqpRoWXaQbjBBY3UC","All Day",63,true
"single","5oVUniYBHNdw6LKSQac5iH","All Day","5K4W6rqBFWDnAN6FQUkS6x;4EMtGVFvfCSrEmWaGV0roE;1tUALn7PEhW7LpMuxvat2x;4STHEaNw4mPZ2tzheohgXB","Kanye West;Theophilus London;Allan Kingdom;Paul McCartney","4lFBXsmbUSebUBoNzE9XVr","All Day",42,false
"album","3ff2p3LnR6V7m6BinwhNaQ","The College Dropout (Explicit)","5K4W6rqBFWDnAN6FQUkS6x;1lE6SEy8f84Zhjvp7r8yTD","Kanye West;Syleena Johnson","2cYZpcIV39X48RnOFM7w2V","All Falls Down",63,true
"album","0bSrRp502dZKkpwZa9F1MY","The College Dropout (Edited)","5K4W6rqBFWDnAN6FQUkS6x;1lE6SEy8f84Zhjvp7r8yTD","Kanye West;Syleena Johnson","3MHON98XnqKWRodG0OdWE1","All Falls Down - Album Version (Edited)",32,false
"single","75rbDc9Ik00r57svAKhG0w","All Falls Down (Live From The House of Blues)","5K4W6rqBFWDnAN6FQUkS6x;1lE6SEy8f84Zhjvp7r8yTD","Kanye West;Syleena Johnson","1V7mKfA04Mj0dZWUs8DmYQ","All Falls Down - Live From The House of Blues/2004",26,true
"single","1O2Tb3FEYtIrtt8Nt1RIVe","Boogaloo to Kanye West","1wP6yPfwfgeJaDXEvonFlr","Boogaloo to Kanye West","6U7jXfXRnvkqhY5Ts5vQ2B","All Falls Down",4,false
"album","59ZxtwIOD1wowkNvVHXqtP","THIS IS... ICONA POP","1VBflYyxBhnDc9uVib98rw","Icona Pop","15iosIuxC3C53BgsM5Uggs","All Night",59,false
"single","1oVDTdt7XKDVq2aY3ffEL7","All Night (Remixes)","1VBflYyxBhnDc9uVib98rw","Icona Pop","5Uo7AAr2d1CNZlaKgVUT3i","All Night - Cash Cash Radio Edit",46,false
"single","1oVDTdt7XKDVq2aY3ffEL7","All Night (Remixes)","1VBflYyxBhnDc9uVib98rw","Icona Pop","43uxyIBTovIX14uDhjuqss","All Night - Crazibiza Radio Edit",28,false
"album","3VjHE97WECKh54AZydUO79","THIS IS... ICONA POP","1VBflYyxBhnDc9uVib98rw","Icona Pop","0ikZ64LUN4bwii2pD5dI75","All Night",23,false
"single","1oVDTdt7XKDVq2aY3ffEL7","All Night (Remixes)","1VBflYyxBhnDc9uVib98rw","Icona Pop","6iHcn07ZwQ03wQcjTW18bt","All Night - Dilemmachine and Tony Tone Radio Edit",23,false
"single","1oVDTdt7XKDVq2aY3ffEL7","All Night (Remixes)","1VBflYyxBhnDc9uVib98rw","Icona Pop","3GHKaYwWoIRztg07bbuYnQ","All Night - K.Flay Remix",22,false
"single","6HX7cgvZnOk66ugnMRbd1d","Get Lost Remixes","1VBflYyxBhnDc9uVib98rw","Icona Pop","5GJuqNyFtH1anU4f9XiBy5","Get Lost - Drive All Night Remix",19,false
"single","1oVDTdt7XKDVq2aY3ffEL7","All Night (Remixes)","1VBflYyxBhnDc9uVib98rw","Icona Pop","2n7MRntYvE2A2ngeDGNVyn","All Night - Captain Cuts Remix",13,false
"single","1oVDTdt7XKDVq2aY3ffEL7","All Night (Remixes)","1VBflYyxBhnDc9uVib98rw","Icona Pop","5NbYUCI4kwXWQ8bGpOR2yA","All Night - Wayne G and LFB Remix",12,false
"album","32ZHqSapYftRpESeyiQlUh","Big Beat Miami 2014","1VBflYyxBhnDc9uVib98rw","Icona Pop","3sT1MOrcKav4tpY3XbFw1q","All Night - Kryder Remix",10,false
"album","20r762YmB5HeofjMCiPMLv","My Beautiful Dark Twisted Fantasy","5K4W6rqBFWDnAN6FQUkS6x","Kanye West","22L7bfCiAkJo5xGSQgmiIO","All Of The Lights",67,true
"album","20r762YmB5HeofjMCiPMLv","My Beautiful Dark Twisted Fantasy","5K4W6rqBFWDnAN6FQUkS6x","Kanye West","4D6TpthzUVNTjWQqfBW5Kb","All Of The Lights (Interlude)",53,true
"album","6klUp8sQyRXGuJhqZu4PG3","My Beautiful Dark Twisted Fantasy","5K4W6rqBFWDnAN6FQUkS6x","Kanye West","7zbDSQelDmlaEhUDnLMViZ","All Of The Lights - Album Version (Edited)",39,false
"album","6klUp8sQyRXGuJhqZu4PG3","My Beautiful Dark Twisted Fantasy","5K4W6rqBFWDnAN6FQUkS6x","Kanye West","3htSLs0ybihAinToA4qeg7","All Of The Lights (Interlude) - Album Version (Edited)",25,false
